시장,코드,종목명,현재가,등락률,시가총액,거래량,거래대금억원_추정,PER,ROE,점수
KOSPI,015760,한국전력,38900.0,-0.38,249724.0,3204199.0,1246.433411,2.87,19.4,14
KOSPI,316140,우리금융지주,29700.0,-1.16,218021.0,5057275.0,1502.010675,7.04,8.91,13
KOSPI,005830,DB손해보험,143100.0,1.42,93731.0,854565.0,1222.882515,5.66,17.75,13
KOSPI,005940,NH투자증권,30200.0,-0.82,107616.0,2198872.0,664.059344,10.46,11.76,13
KOSPI,017800,현대엘리베이터,78800.0,-1.99,30805.0,273262.0,215.330456,12.11,20.11,13
KOSDAQ,257720,실리콘투,36150.0,-2.43,23706.0,545115.0,197.0590725,13.86,46.89,13
KOSPI,071970,HD현대마린엔진,71100.0,-2.87,24118.0,269483.0,191.602413,13.45,41.36,13
KOSPI,001450,현대해상,34550.0,-0.43,29453.0,524811.0,181.3222005,3.03,20.6,13
KOSPI,007340,DN오토모티브,44650.0,1.48,26125.0,248171.0,110.8083515,8.95,15.02,13
KOSPI,000270,기아,169200.0,2.98,660579.0,2452280.0,4149.25776,9.52,12.92,12
KOSPI,105560,KB금융,150600.0,0.6,561513.0,1907114.0,2872.113684,9.96,9.98,12
KOSPI,055550,신한지주,93600.0,0.86,444276.0,2546906.0,2383.904016,9.28,8.72,12
KOSPI,042660,한화오션,123300.0,-0.72,377808.0,1737884.0,2142.810972,24.69,22.59,12
KOSPI,086790,하나금융지주,115100.0,-0.17,315797.0,1481779.0,1705.527629,8.16,9.17,12
KOSPI,161390,한국타이어앤테크놀로지,66800.0,6.03,82749.0,1447920.0,967.21056,7.41,9.39,12
KOSPI,024110,기업은행,20200.0,-1.22,161080.0,4689421.0,947.263042,6.08,7.7,12
KOSPI,011200,HMM,19560.0,-0.25,184497.0,4653326.0,910.1905656,12.79,6.9,12
KOSPI,016360,삼성증권,119800.0,-0.83,106981.0,590178.0,707.033244,8.84,13.09,12
KOSDAQ,043260,성호전자,33400.0,-8.62,23688.0,2059622.0,687.913748,5.72,46.27,12
KOSPI,375500,DL이앤씨,76500.0,0.0,29601.0,858227.0,656.543655,6.57,7.34,12
KOSPI,047050,포스코인터내셔널,63800.0,-0.47,112239.0,1007700.0,642.9126,16.51,9.27,12
KOSDAQ,083650,비에이치아이,72900.0,-1.35,22558.0,503771.0,367.249059,36.61,44.36,12
KOSPI,021240,코웨이,90000.0,-2.6,63691.0,322195.0,289.9755,9.78,18.14,12
KOSPI,005850,에스엘,75100.0,-0.66,34883.0,364224.0,273.532224,10.17,12.81,12
KOSDAQ,041510,에스엠,79700.0,-1.85,18247.0,270953.0,215.949541,13.88,41.65,12
KOSPI,030200,KT,52800.0,1.73,133067.0,398620.0,210.47136,8.62,10.22,12
KOSDAQ,214150,클래시스,44750.0,-2.82,29193.0,347532.0,155.52057,22.22,26.21,12
KOSPI,175330,JB금융지주,23900.0,-0.83,44993.0,532659.0,127.305501,6.48,12.36,12
KOSDAQ,035900,JYP Ent.,57700.0,-0.17,20502.0,203850.0,117.62145,16.63,29.21,12
KOSPI,035250,강원랜드,15030.0,-0.27,32155.0,734579.0,110.4072237,11.35,8.11,12
KOSPI,030000,제일기획,18460.0,0.82,21237.0,580965.0,107.246139,10.24,13.7,12
KOSPI,383220,F&F,72900.0,-0.41,27926.0,116679.0,85.058991,5.44,23.16,12
KOSPI,439260,대한조선,63200.0,-1.56,24072.0,114110.0,72.11752,8.57,32.19,12
KOSPI,326030,SK바이오팜,89700.0,-4.06,70247.0,4366107.0,3916.397979,20.14,39.28,11
KOSPI,006800,미래에셋증권,61400.0,-0.97,343574.0,3535536.0,2170.819104,28.51,12.36,11
KOSPI,028050,삼성E&A,52900.0,4.13,103684.0,2373485.0,1255.573565,16.66,13.76,11
KOSPI,003490,대한항공,26800.0,-0.74,98683.0,3931009.0,1053.510412,16.05,7.28,11
KOSPI,032640,LG유플러스,16130.0,7.03,68460.0,4114663.0,663.6951419,13.03,6.01,11
KOSPI,082740,한화엔진,64200.0,-4.18,53573.0,1019258.0,654.363636,25.86,36.6,11
KOSPI,204320,HL만도,62100.0,0.65,29160.0,884253.0,549.121113,24.31,3.82,11
KOSDAQ,050890,쏠리드,16000.0,0.82,9721.0,3097246.0,495.55936,17.52,10.8,11
KOSDAQ,095610,테스,119100.0,-2.62,23058.0,375229.0,446.897739,35.62,15.76,11
KOSDAQ,005290,동진쎄미켐,54700.0,-5.2,27881.0,746945.0,408.578915,21.66,9.52,11
KOSPI,241560,두산밥캣,64700.0,-3.14,62019.0,476846.0,308.519362,14.67,5.71,11
KOSPI,088350,한화생명,4880.0,-1.11,42384.0,5263616.0,256.8644608,6.61,6.51,11
KOSDAQ,083450,GST,53800.0,-2.0,9915.0,461560.0,248.31928,18.04,16.15,11
KOSPI,138930,BNK금융지주,16820.0,-1.69,52197.0,1337299.0,224.9336918,6.54,7.58,11
KOSPI,078930,GS,72500.0,-2.16,67349.0,309759.0,224.575275,5.21,5.55,11
KOSDAQ,082920,비츠로셀,52600.0,-0.38,23849.0,385962.0,203.016012,37.17,18.56,11
KOSDAQ,031330,에스에이엠티,15650.0,-4.11,15649.0,1184582.0,185.387083,5.12,16.55,11
KOSPI,161890,한국콜마,85500.0,-1.27,20182.0,190451.0,162.835605,12.86,14.69,11
KOSPI,028670,팬오션,5490.0,0.18,29348.0,2788003.0,153.0613647,9.06,5.3,11
KOSPI,077970,STX엔진,40400.0,-1.94,16220.0,371952.0,150.268608,21.6,22.26,11
KOSDAQ,033100,제룡전기,59000.0,-2.32,9477.0,246007.0,145.14413,18.21,26.93,11
KOSPI,192820,코스맥스,173700.0,-0.8,19714.0,76004.0,132.018948,12.6,23.86,11
KOSDAQ,067160,SOOP,50400.0,1.92,5793.0,248057.0,125.020728,5.69,24.08,11
KOSPI,139130,iM금융지주,17340.0,-2.42,27852.0,701079.0,121.5670986,6.43,7.27,11
KOSPI,251270,넷마블,42500.0,2.29,34822.0,275344.0,117.0212,10.11,4.15,11
KOSPI,005690,파미셀,15000.0,-2.34,9001.0,676234.0,101.4351,20.69,38.31,11
KOSDAQ,037460,삼지전자,45300.0,-0.44,7392.0,208637.0,94.512561,3.8,16.89,11
KOSPI,111770,영원무역,79500.0,-2.81,35228.0,106204.0,84.43218,6.36,12.66,11
KOSPI,282330,BGF리테일,124200.0,0.4,21467.0,55243.0,68.611806,10.16,15.64,11
KOSDAQ,241710,코스메카코리아,71400.0,1.13,7626.0,91766.0,65.520924,13.84,19.29,11
KOSPI,064400,LG씨엔에스,113800.0,29.91,110256.0,8555366.0,9736.006508,23.89,17.35,10
KOSPI,010140,삼성중공업,27950.0,-1.58,245960.0,6896894.0,1927.681873,44.29,13.74,10
KOSPI,007660,이수페타시스,129200.0,1.33,94845.0,1209513.0,1562.690796,54.47,29.64,10
KOSDAQ,403870,HPSP,48650.0,-4.42,40039.0,2761720.0,1343.57678,55.92,24.79,10
KOSDAQ,058470,리노공업,97400.0,-1.72,74230.0,1045231.0,1018.054994,45.54,22.45,10
KOSPI,010950,S-Oil,107400.0,0.37,120914.0,836638.0,898.549212,13.29,2.01,10
KOSPI,323410,카카오뱅크,22400.0,4.67,106875.0,3705193.0,829.963232,22.24,7.23,10
KOSPI,000100,유한양행,85000.0,1.67,67700.0,867064.0,737.0044,32.48,8.81,10
KOSPI,267270,HD건설기계,151500.0,-2.38,72602.0,461275.0,698.831625,15.43,5.74,10
KOSDAQ,067310,하나마이크론,40450.0,-7.01,26885.0,1603198.0,648.493591,26.15,9.89,10
KOSDAQ,319660,피에스케이,98500.0,-5.29,28532.0,556239.0,547.895415,36.32,15.54,10
KOSPI,103590,일진전기,92900.0,-3.13,44300.0,468762.0,435.479898,37.89,19.08,10
KOSDAQ,089970,브이엠,58900.0,-3.76,14591.0,520487.0,306.566843,30.27,17.34,10
KOSDAQ,031980,피에스케이홀딩스,106600.0,-4.99,22986.0,264985.0,282.47401,23.91,19.55,10
KOSDAQ,101490,에스앤에스텍,65800.0,-3.52,14038.0,370190.0,243.58502,23.42,21.24,10
