code,sector
005930,반도체
000660,반도체
005935,반도체
373220,2차전지
006400,2차전지
051910,2차전지
247540,2차전지
066970,2차전지
003670,2차전지
207940,바이오
068270,바이오
326030,바이오
302440,바이오
128940,바이오
000100,제약
069620,제약
170900,바이오
005380,자동차
000270,자동차
012330,자동차부품
161390,자동차부품
011210,자동차부품
018880,자동차부품
204320,자동차부품
035420,인터넷
035720,인터넷
259960,게임
036570,게임
251270,게임
225570,게임
263750,게임
112040,게임
005490,철강금속
004020,철강금속
103140,철강금속
010130,철강금속
001230,철강금속
105560,금융
055550,금융
086790,금융
316140,금융
024110,금융
138040,금융
175330,금융
139130,금융
323410,금융
032830,보험
000810,보험
088350,보험
001450,보험
005830,보험
029780,카드
015760,유틸리티
036460,유틸리티
017670,통신
030200,통신
032640,통신
003550,지주
034730,지주
001040,지주
000150,지주
267250,지주
096770,에너지화학
010950,에너지화학
011170,에너지화학
011790,에너지화학
285130,에너지화학
009830,에너지화학
051900,소비재
090430,소비재
033780,소비재
002790,소비재
097950,음식료
271560,음식료
280360,음식료
004990,음식료
007310,음식료
139480,유통
023530,유통
069960,유통
282330,유통
057050,유통
008770,호텔레저
039130,호텔레저
035250,호텔레저
000080,음식료
009150,전자부품
009540,조선
010140,조선
042660,조선
329180,조선
267260,전기장비
064350,기계
042700,반도체장비
240810,반도체장비
357780,반도체장비
018260,IT서비스
011070,전자부품
003490,운송
011200,운송
086280,운송
028670,운송
047810,항공우주
012450,항공우주
079550,항공우주
064960,자동차부품
352820,엔터
041510,엔터
035900,엔터
122870,엔터
028260,지주
001570,기계
009240,소비재
181710,통신
021240,소비재
271940,철강금속
000720,건설
028050,건설
047040,건설
006360,건설
375500,자동차부품
066570,전자
373220,2차전지
